,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Government Revenue and Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Government Development Expenditure By Sector, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ACCOUNTANT-GENERAL'S DEPARTMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
    Manpower (Financial Security),0.1,0.0,2.0,0.7,0.1,0.0,0.9,0.9,0.1,0.0,1.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Security And External Relations,311.5,189.2,508.2,235.2,193.0,150.2,725.5,405.7,204.7,133.1,930.9,245.3,186.4,274.2,543.7,326.6,280.1,298.6,463.8,264.8,237.5,202.7,413.3,224.8,197.6,120.4,390.3,207.8,195.1,113.3,421.5,191.8,171.7,75.4,319.4,156.2,172.9,71.2,292.6,148.2,149.3,127.7,278.1,155.5,169.8,114.3,337.4,187.6,200.7,135.2,330.2,171.3,174.7,100.9,415.2,197.6,135.0,80.8,404.3,163.1,137.4
    Defence,95.6,96.4,126.6,77.6,37.9,36.1,274.9,112.8,63.4,30.0,322.7,71.6,44.5,42.9,225.0,90.9,105.1,172.7,145.1,111.9,147.5,138.4,126.0,123.3,111.7,69.9,210.2,91.0,86.8,40.6,218.8,94.7,79.1,29.8,194.9,91.3,126.2,55.4,150.0,101.9,116.2,111.2,128.2,99.8,119.5,90.2,185.4,105.3,87.4,61.9,115.4,-,-,-,-,-,-,-,-,-,-
    Home Affairs,214.8,86.0,379.5,155.4,152.4,112.3,445.8,290.1,136.0,100.3,602.8,165.6,133.8,227.2,308.1,228.0,170.4,124.4,304.5,149.1,82.6,36.6,277.3,99.1,83.4,46.1,172.3,106.4,100.3,59.0,183.6,84.8,77.6,32.9,109.0,51.4,34.7,11.9,127.6,31.9,25.5,9.1,135.7,41.0,41.8,21.9,143.8,73.6,68.2,64.7,184.0,-,-,-,-,-,-,-,-,-,-
    Foreign Affairs,1.0,6.8,2.1,2.2,2.7,1.9,4.7,2.8,5.4,2.8,5.4,8.1,8.1,4.1,10.7,7.7,4.6,1.5,14.2,3.9,7.4,27.7,9.9,2.5,2.5,4.4,7.8,10.4,8.0,13.7,19.2,12.3,15.0,12.6,15.5,13.5,12.0,4.0,15.0,14.4,7.6,7.3,14.2,14.7,8.5,2.3,8.2,8.8,45.2,8.6,30.9,-,-,-,-,-,-,-,-,-,-
  Economic Development,"2,578.4","3,235.1","2,600.7","1,427.5","1,699.4","2,641.6","3,606.6","1,846.1","2,362.9","2,070.3","4,952.0","2,880.2","3,580.1","2,161.5","4,056.3","2,159.7","1,868.9","2,212.5","2,676.5","3,430.9","2,161.0","4,034.4","6,015.9","2,181.3","1,798.9","2,912.9","2,418.9","1,672.9","1,498.9","2,332.3","1,981.0","1,944.0","1,342.8","2,278.7","2,103.3","2,031.1","1,529.8","2,291.2","1,814.2","1,771.8","1,968.9","1,340.7","2,034.6","1,654.3","1,890.0","1,911.3","1,404.0","1,925.6","1,412.6","1,734.8","1,400.9","1,899.7",845.2,"1,498.7",655.7,974.8,902.2,656.6,739.8,809.8,646.3
    Transport,"1,217.7","2,589.6","1,669.7",563.1,"1,050.9","2,043.3","2,269.1",966.0,"1,965.8","1,415.8","4,009.4","1,473.1","2,907.9","1,486.5","2,864.2","1,627.0","1,238.1","1,842.3","1,666.0","2,496.6","1,611.8","3,544.8","5,142.5","1,645.1","1,438.4","2,106.4","1,571.9","1,212.8","1,162.4","1,541.5","1,484.7","1,388.0",899.1,"1,732.0",997.1,"1,397.2","1,203.8","1,815.7",738.0,"1,285.4","1,254.5",725.1,957.5,"1,104.5","1,205.4",982.3,759.1,"1,269.4",687.7,"1,365.8",857.8,"1,170.9",616.1,733.8,265.1,681.3,268.5,406.5,313.4,495.1,285.8
    Trade And Industry,"1,351.7",629.8,843.0,836.9,637.1,593.1,"1,272.3",870.6,381.1,651.6,916.0,"1,403.5",662.5,673.7,"1,169.0",527.9,627.1,364.3,943.1,916.0,520.4,478.1,780.6,499.7,320.8,796.8,727.9,443.7,318.2,612.0,444.7,531.0,437.5,533.4,"1,042.0",585.4,293.4,466.8,890.0,417.0,650.3,595.4,910.4,452.1,515.5,795.1,600.6,651.4,716.6,365.5,492.0,717.1,215.2,758.7,365.4,278.5,622.6,249.0,391.9,307.8,353.8
    Manpower (Excluding Financial Security),7.2,2.8,42.1,23.8,11.2,1.7,38.8,9.4,15.2,1.4,26.9,3.6,1.9,1.3,19.1,4.7,3.8,5.9,13.0,1.6,2.5,3.4,13.0,5.1,5.8,1.6,24.6,6.2,3.7,2.2,13.7,9.2,2.8,2.6,16.3,7.7,3.5,0.2,36.3,16.1,8.5,0.9,31.8,3.5,5.6,1.5,13.9,3.1,3.9,1.8,16.5,6.7,7.6,4.5,13.7,6.0,3.4,1.0,10.2,2.9,2.1
    Info-Communications And Media Development,1.7,12.9,45.9,3.6,0.2,3.4,26.4,0.2,0.8,1.5,-0.2,0.0,7.8,0.0,3.9,0.0,0.0,0.0,54.4,16.6,26.4,8.0,79.7,31.3,33.9,8.2,94.5,10.2,14.6,176.6,37.9,15.8,3.4,10.8,47.9,40.9,29.2,8.4,149.9,53.3,55.6,19.3,134.8,94.2,163.4,132.4,30.5,1.7,4.4,1.8,34.6,5.0,6.2,1.7,11.6,8.9,7.7,0.0,24.2,4.0,4.6
  Government Administration,114.5,90.2,115.8,59.9,110.7,23.8,330.2,262.6,94.2,69.1,347.8,117.3,133.5,34.7,332.8,97.5,91.1,88.4,401.8,87.1,37.9,17.7,210.3,103.4,29.2,114.4,87.5,65.7,366.7,18.6,250.1,22.5,38.3,49.1,98.5,147.0,245.3,35.7,128.6,34.8,27.3,6.2,147.7,16.1,48.2,4.6,110.1,17.1,54.5,31.1,91.8,79.7,11.5,14.5,127.6,15.9,9.0,34.7,55.0,104.1,39.2
    Finance,1.9,1.4,19.2,16.1,8.4,2.2,28.1,16.4,5.6,5.7,33.7,15.2,16.9,8.0,28.8,12.5,11.3,9.8,38.7,12.9,13.1,7.0,29.2,18.1,5.2,1.0,23.1,14.7,4.1,2.0,16.1,2.1,4.6,2.4,11.5,4.4,4.2,4.0,16.5,6.5,5.0,1.8,10.4,3.3,6.3,1.1,6.1,2.1,4.4,4.4,11.5,-,-,-,-,-,-,-,-,-,-
    Law,20.7,54.5,9.8,4.0,4.8,2.9,147.1,142.1,17.4,4.3,174.4,31.2,7.5,3.5,160.9,43.8,46.2,69.1,316.1,51.9,5.9,3.4,142.2,66.2,6.2,104.2,40.0,35.6,349.0,9.8,202.2,5.2,22.4,43.4,48.4,6.5,235.5,25.9,91.4,21.4,16.0,1.8,112.3,6.1,28.7,0.9,84.2,9.7,47.1,25.5,70.5,-,-,-,-,-,-,-,-,-,-
    Organs Of State,8.6,11.1,25.8,13.6,6.3,12.9,35.3,66.0,58.2,57.6,68.4,53.5,42.5,19.1,54.5,29.8,13.3,7.3,28.8,13.6,8.8,4.1,18.9,10.9,11.3,6.2,10.5,6.3,2.9,3.0,9.9,4.7,4.9,2.1,30.3,125.0,2.9,4.8,9.1,3.1,2.9,1.6,7.8,2.0,2.5,1.4,12.3,2.9,1.6,0.7,5.6,-,-,-,-,-,-,-,-,-,-
"    Prime Minister's Office",83.3,23.1,61.1,26.1,91.2,5.7,119.6,38.1,13.0,1.6,71.3,17.3,66.5,4.1,88.6,11.4,20.3,2.2,18.2,8.7,10.2,3.2,20.0,8.2,6.5,3.0,14.0,9.1,10.7,3.9,21.9,10.4,6.4,1.2,8.3,11.0,2.7,1.0,11.6,3.7,3.5,1.1,17.1,4.7,10.7,1.2,7.5,2.4,1.5,0.5,4.3,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data refer to the Government's financial year, which begins on 1 April of the current year and ends on 31 March of the following year.  Q1 refers to Apr-Jun, Q2 refers to Jul-Sep, Q3 refers to Oct-Dec and Q4 refers to Jan-Mar.  Refinements have been made over time to the sectoral classification of ministries' expenditure to better reflect the nature of the programmes.  In FY2007, expenditure by the then-Ministry of Communications, Information and the Arts under the Info-Communications and Media Development Programme was reclassified from the Social Development sector to the Economic Development sector.  In FY2013, expenditure by the Ministry of Manpower under the Financial Security and Lifelong Employability programme (subsequently re-named as the Financial Security for Singaporeans programme) was reclassified from the Economic Development sector to the Social Development sector.  Figures may not add up due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Government Development Expenditure (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Development Expenditure excludes land-related expenditure, Special Transfers, spending from Government Endowment and Trust Funds, and loans to statutory boards, industrial and commercial enterprises.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Government Development Expenditure - Social Development - Culture, Community And Youth (Million Dollars):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With effect from 1 November 2012, the Ministry of Community Development, Youth and Sports (MCYS) and the Ministry of Information, Communications and the Arts (MICA) were restructured to form three Ministries: (i) MCYS was renamed as the Ministry of Social and Family Development (MSF), (ii) MICA was renamed as the Ministry of Communications and Information (MCI) and (iii) the new Ministry of Culture, Community and Youth (MCCY) was formed to undertake functions transferred from MCYS and MICA. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Government Development Expenditure - Social Development - Social And Family Development (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With effect from 1 November 2012, the Ministry of Community Development, Youth and Sports (MCYS) and the Ministry of Information, Communications and the Arts (MICA) were restructured to form three Ministries: (i) MCYS was renamed as the Ministry of Social and Family Development (MSF), (ii) MICA was renamed as the Ministry of Communications and Information (MCI) and (iii) the new Ministry of Culture, Community and Youth (MCCY) was formed to undertake functions transferred from MCYS and MICA. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Government Development Expenditure - Social Development - Communications And Information (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With effect from 1 November 2012, the Ministry of Community Development, Youth and Sports (MCYS) and the Ministry of Information, Communications and the Arts (MICA) were restructured to form three Ministries: (i) MCYS was renamed as the Ministry of Social and Family Development (MSF), (ii) MICA was renamed as the Ministry of Communications and Information (MCI) and (iii) the new Ministry of Culture, Community and Youth (MCCY) was formed to undertake functions transferred from MCYS and MICA. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Government Development Expenditure - Economic Development - Info-Communications And Media Development (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With effect from 1 November 2012, the Ministry of Community Development, Youth and Sports (MCYS) and the Ministry of Information, Communications and the Arts (MICA) were restructured to form three Ministries: (i) MCYS was renamed as the Ministry of Social and Family Development (MSF), (ii) MICA was renamed as the Ministry of Communications and Information (MCI) and (iii) the new Ministry of Culture, Community and Youth (MCCY) was formed to undertake functions transferred from MCYS and MICA.  Info-Communications and Media Development expenditure under the Economic Development sector refers to expenditure under the Infocomm Development Authority of Singapore and Media Development Authority prior to 1 October 2016.  Thereafter, it refers to that of Info-communications Media Development Authority, Government Technology Agency of Singapore (for FY2016 only) and the Cyber Security Agency of Singapore (from FY 2018 onwards).  From FY2017, expenditure of Government Technology Agency of Singapore is under Prime Minister's Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Government Development Expenditure - Government Administration - Prime Minister's Office (Million Dollars):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With effect from 1 May 2017, the Smart Nation and Digital Government Group (SNDGG) was formed under the Prime Minister's Office (PMO), comprising the Digital Government Directorate of the Ministry of Finance (MOF), the Government Technology Policy department and Government Technology Agency (GovTech) of the Ministry of Communications and Information (MCI), and the Smart Nation Programme Office (SNPO) of the PMO.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na  not available or not applicablenec  not elsewhere classifiednes  not elsewhere specified-    nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NotesNumbers may not add up to the totals due to rounding.Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
