,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Fixed Capital Formation (GFCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Fixed Capital Formation In Chained (2015) Dollars, Quarterly ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
  Construction & Works (Public Sector),"4,026.5","4,180.2","4,205.9","3,608.1","2,325.0","2,183.0","5,642.7","4,991.4","4,667.8","4,584.8","5,263.3","4,636.5","4,647.7","4,426.2","5,226.5","5,043.6","4,691.5","4,584.4","5,151.3","4,753.2","4,983.8","5,326.6","4,859.1","4,798.1","4,238.8","4,410.1","4,245.0","4,092.7","4,070.5","3,853.1","4,530.7","3,909.8","3,735.7","3,393.5","3,943.7","3,798.6","3,653.7","3,413.8","3,850.8","3,487.0","3,330.2","3,194.0","3,578.6","3,317.9","3,145.0","2,904.3","3,010.0","2,827.2","2,591.6","2,322.4","2,487.9","2,293.7","2,215.3","1,870.1","1,954.1","1,784.5","1,708.0","1,529.3","2,019.8","1,795.4","1,769.5","1,559.4","2,172.4","2,000.8","1,883.4","1,823.7","2,594.6","2,187.0","2,285.2","1,974.0","2,617.7","2,682.0","2,737.0","2,322.7","2,582.7","2,538.5","2,634.0","2,412.1","3,047.8","3,081.0","3,216.5","3,296.8","3,464.6","3,398.2","3,147.1","2,717.4","3,005.2","3,076.7","3,047.7","2,896.0","3,293.7","3,163.7","3,045.0","2,883.2","2,792.7","2,917.5","3,104.4","2,707.8","2,397.8","2,466.7","2,321.5","2,023.1","2,049.6","2,095.6","1,913.2","1,783.4","1,707.0","1,936.5","1,892.9","1,690.9","1,726.9","1,664.6","1,626.4","1,538.8","1,431.7","1,608.4","1,311.0","1,267.9","1,329.8","1,448.8","1,267.1",981.2,"1,056.1","1,150.1",937.8,897.5,981.4,"1,213.6",935.3,832.3,951.8,"1,116.4","1,083.1","1,144.4","1,247.1","1,543.2","1,708.8","1,734.9","1,826.7","2,046.6","2,054.5","1,996.9","1,792.5","1,775.6","1,920.2","1,853.6","1,882.2","1,989.4","2,062.5","2,107.8","2,147.7","2,109.9","1,891.1","1,940.5","1,676.9","1,567.3","1,490.1","1,311.4","1,161.1","1,159.5",990.0,985.5,943.6,934.9,910.3,896.7,874.4,800.3,739.3,727.5,754.0,816.5,739.3,754.0,731.9,777.0,847.2,831.4,816.1,732.6,798.0,841.4,714.9,718.7,656.6,609.8,473.7
    Residential Buildings (Public Sector),683.8,820.8,877.2,824.6,555.2,259.1,992.1,971.0,962.1,"1,016.6","1,063.2","1,091.8","1,144.8","1,117.1","1,064.5","1,098.6","1,098.8","1,044.1","1,103.2","1,022.3","1,336.9","1,403.5","1,363.7","1,470.2","1,433.6","1,478.5","1,395.1","1,437.1","1,417.4","1,421.1","1,293.6","1,384.3","1,359.3","1,253.2","1,188.0","1,267.4","1,105.9","1,034.2","1,082.5",907.7,883.5,925.5,927.2,980.7,911.9,859.8,788.6,794.9,676.3,614.9,579.0,582.4,536.7,456.9,390.4,447.6,397.3,392.7,389.9,403.7,381.3,340.9,360.8,363.9,366.3,383.7,387.3,424.2,436.3,392.5,473.6,466.9,455.4,472.2,496.0,578.6,622.7,585.4,576.3,731.9,717.6,803.4,821.3,990.0,"1,049.7","1,055.9",950.6,"1,211.9","1,249.8","1,264.1","1,215.1","1,437.7","1,438.2","1,380.3","1,246.7","1,391.7","1,379.6","1,246.0","1,092.1","1,184.5","1,098.8",967.0,927.0,963.7,882.5,771.7,664.4,843.7,852.9,810.7,830.2,873.0,893.3,792.9,721.2,758.6,627.9,546.5,510.7,561.2,517.7,413.4,374.3,441.9,340.9,321.2,363.2,423.8,337.9,356.9,365.9,464.0,389.4,434.3,420.2,575.4,615.5,623.5,630.8,719.2,790.0,806.8,831.6,808.1,934.2,"1,016.9","1,095.9","1,129.6","1,170.5","1,350.1","1,341.4","1,335.6","1,200.7","1,218.0",956.9,882.6,793.5,660.0,546.0,496.4,404.7,409.7,358.6,371.5,328.5,394.2,359.8,297.6,303.7,378.2,338.7,349.7,348.3,386.8,355.4,373.1,427.3,455.1,399.4,333.6,336.1,374.6,321.5,307.8,282.0,291.1,250.6
    Non-Residential Buildings (Public Sector),"1,277.0","1,262.4","1,336.7","1,031.7",728.4,649.8,"2,188.3","1,763.8","1,542.0","1,276.4","1,747.0","1,401.4","1,384.9","1,232.9","1,739.0","1,621.6","1,620.0","1,579.2","1,911.8","1,724.3","1,590.1","1,468.9","1,257.7","1,114.9","1,089.5","1,008.9","1,176.3","1,052.0","1,054.6",996.2,"1,301.3",975.3,860.7,764.4,"1,157.7",887.9,"1,043.7",725.7,"1,195.9",890.4,868.5,858.3,"1,128.7",778.4,700.2,587.2,716.5,554.9,595.3,561.6,572.1,588.0,613.5,460.6,734.6,588.7,582.4,499.8,856.6,614.3,616.9,612.3,954.6,858.1,809.7,758.5,"1,078.1",948.9,938.3,823.9,"1,234.6","1,220.8","1,229.3",950.9,"1,114.8","1,027.9",926.1,877.4,"1,229.4","1,132.8","1,100.5","1,086.5","1,191.0","1,115.5","1,031.2",847.9,"1,103.2",993.6,909.7,845.5,"1,206.1",891.0,800.0,747.6,767.3,856.3,847.4,748.3,651.5,619.2,644.0,530.8,584.8,550.2,541.3,555.5,480.3,564.0,496.0,404.5,401.4,390.5,372.4,355.9,341.1,348.5,287.7,301.0,390.3,388.0,290.1,245.3,296.5,309.5,296.9,277.0,248.1,300.6,258.9,225.3,230.3,244.5,227.3,197.3,269.0,239.8,258.3,272.8,301.7,318.7,370.3,397.5,369.2,382.3,427.6,337.4,357.2,430.2,457.2,410.8,445.0,436.0,400.3,385.8,368.3,380.3,341.8,307.3,331.0,323.0,276.6,282.8,274.3,237.2,255.4,198.4,214.0,211.8,210.9,155.6,191.4,202.8,165.8,166.9,153.7,164.0,174.7,162.1,176.1,177.5,192.0,192.5,198.6,189.2,170.5,132.7,100.0
    Other Construction & Works (Public Sector),"2,058.8","2,089.8","1,984.9","1,750.7","1,041.5","1,264.6","2,449.7","2,248.1","2,158.5","2,290.4","2,446.1","2,145.1","2,122.5","2,082.1","2,415.8","2,320.9","1,971.8","1,959.8","2,134.3","2,006.6","2,056.9","2,454.2","2,237.7","2,213.2","1,715.5","1,922.5","1,673.6","1,603.3","1,598.3","1,435.5","1,936.2","1,550.1","1,515.8","1,376.1","1,597.3","1,638.6","1,503.7","1,653.5","1,575.2","1,695.1","1,582.8","1,408.9","1,529.5","1,556.3","1,531.5","1,455.2","1,508.4","1,479.5","1,323.5","1,149.1","1,341.2","1,128.4","1,070.0",956.6,833.6,753.4,732.6,641.4,777.4,781.8,775.3,609.9,860.4,782.6,711.8,686.8,"1,130.7",819.5,915.6,763.3,913.4,995.8,"1,051.2",909.0,978.9,950.2,"1,106.9",971.3,"1,247.8","1,242.3","1,419.5","1,436.9","1,481.1","1,353.8","1,129.6",876.8,"1,006.7",943.8,962.0,857.5,946.8,914.5,883.4,827.6,849.7,740.5,956.9,781.5,715.0,725.5,636.3,576.1,588.3,631.4,534.0,499.8,609.3,576.4,590.0,514.7,535.3,435.2,391.9,422.5,400.4,539.9,426.2,453.4,465.5,540.0,494.1,348.3,416.6,430.9,326.7,325.2,398.7,522.7,364.3,275.5,383.3,437.3,498.9,546.4,597.0,774.5,888.0,892.3,952.0,"1,072.9",953.6,847.3,634.0,623.5,598.1,536.2,464.9,463.3,469.5,388.7,402.2,380.4,327.9,375.0,376.7,327.0,372.5,356.1,290.0,342.0,308.3,293.3,307.3,324.7,321.1,306.9,300.5,287.4,225.8,202.6,227.6,265.6,230.0,208.9,228.6,245.9,253.7,225.8,247.7,225.8,271.9,278.3,199.4,224.5,206.7,190.7,129.1
  Transport Equipment (Public Sector),148.9,116.3,139.2,114.4,94.1,118.6,136.5,96.0,91.1,94.7,127.3,154.9,89.0,80.7,77.9,181.8,120.9,125.6,806.7,207.4,377.1,199.4,200.7,133.4,114.4,113.6,93.4,81.7,75.9,69.2,79.5,44.3,20.4,16.4,34.7,32.8,27.4,19.7,7.7,7.2,8.6,5.3,40.5,32.7,20.6,15.2,14.9,99.3,3.7,53.3,2.3,10.2,24.3,20.7,23.4,18.1,21.9,18.0,27.3,29.2,22.9,15.3,20.2,12.2,8.9,5.9,6.1,7.1,7.6,7.8,12.8,30.6,16.9,11.4,11.0,19.2,62.4,41.0,58.1,50.5,48.0,38.6,20.0,13.5,20.4,12.1,8.7,6.7,8.4,4.2,21.1,38.9,8.1,11.4,25.2,8.3,23.7,2.7,5.0,7.6,10.6,14.8,17.9,18.0,65.7,64.0,46.4,27.6,18.4,7.6,8.5,7.9,11.2,14.7,7.9,6.0,3.7,4.1,7.0,4.1,3.7,2.6,9.7,6.2,4.0,7.0,7.3,6.1,22.4,84.8,13.6,62.4,50.3,39.9,56.8,69.7,51.4,52.2,38.5,9.8,6.0,10.4,9.7,7.2,4.9,6.1,6.0,5.5,10.8,11.8,4.4,8.2,4.7,3.0,4.2,5.8,1.9,2.5,8.8,11.1,23.4,4.3,13.4,11.5,7.7,1.6,4.8,3.5,2.6,2.1,6.8,2.8,1.0,2.1,7.3,5.5,6.7,4.0,4.0,5.7,8.6,4.7,6.4,5.0,4.8,4.8,4.8
  Machinery & Equipment (Public Sector),276.6,408.2,626.7,258.8,245.1,337.4,524.7,335.6,410.0,237.5,636.4,290.8,463.7,296.1,884.9,369.9,305.5,279.9,621.2,306.8,295.8,347.0,610.6,578.4,347.3,298.1,495.5,232.9,224.1,200.7,438.5,253.8,254.3,185.1,313.6,322.0,271.4,250.4,339.2,300.0,254.5,160.4,461.5,205.0,246.3,230.1,459.4,266.6,263.4,236.0,374.9,203.6,191.3,181.8,302.0,169.5,115.7,100.2,322.6,120.3,124.6,74.5,360.9,172.5,158.1,119.3,381.1,173.4,181.5,131.5,239.8,144.7,148.0,99.6,291.9,199.5,126.6,81.0,247.2,131.5,127.7,126.6,269.0,160.5,121.3,156.0,285.0,129.9,116.5,80.6,304.0,136.0,95.5,91.2,148.8,103.7,68.9,55.7,130.9,81.0,75.2,38.8,181.0,80.9,244.0,171.6,126.0,241.6,216.7,144.6,155.6,217.8,105.4,74.7,71.6,151.4,86.2,117.2,224.5,274.2,221.4,135.7,222.8,258.3,124.9,121.0,105.3,116.7,78.1,52.9,94.1,86.6,69.1,44.1,122.3,76.4,66.0,80.5,129.9,120.5,112.5,117.7,122.9,170.0,148.0,97.4,80.6,113.0,92.9,61.2,72.3,86.2,77.1,72.1,96.6,119.6,117.2,102.7,73.0,79.8,50.0,31.7,53.8,51.9,52.6,30.5,67.3,54.0,31.7,23.8,50.3,111.2,84.5,54.2,114.5,60.8,62.9,71.1,67.7,56.2,64.5,61.0,42.7,55.8,42.9,43.0,43.0
  Intellectual Property Products (Public Sector),576.0,564.3,542.5,552.0,559.8,539.7,518.3,515.7,523.0,509.5,494.6,490.7,493.9,490.3,475.5,473.0,499.0,492.6,479.4,466.1,495.1,506.9,495.2,467.7,470.8,472.6,439.4,434.5,418.7,407.9,393.7,372.6,412.4,368.6,392.8,367.8,397.2,398.2,376.7,371.3,376.4,365.0,370.0,355.0,375.4,373.9,358.7,384.9,403.8,398.4,372.3,308.2,313.5,290.0,306.2,301.5,304.6,291.8,303.8,299.1,316.7,303.2,315.9,338.4,354.0,355.7,380.0,373.6,388.0,386.6,401.8,425.7,435.1,417.1,393.8,386.8,365.0,356.4,330.5,295.3,279.8,275.0,245.2,240.1,250.6,252.6,242.1,244.1,246.8,247.1,241.3,246.0,254.8,248.2,232.4,232.3,229.0,221.7,218.7,210.1,201.0,197.1,188.4,172.8,160.4,157.5,153.5,153.3,151.3,147.4,141.5,137.7,140.1,137.5,134.2,137.5,137.0,135.2,129.5,122.3,123.7,119.0,109.9,106.5,103.9,98.4,93.0,75.2,67.8,63.1,62.8,72.7,75.8,74.1,68.7,57.3,53.5,49.0,45.5,42.1,37.5,36.7,39.9,44.8,45.1,45.1,41.9,33.5,28.4,25.7,23.0,19.8,17.5,17.9,18.8,21.0,23.3,23.1,21.4,17.2,16.3,16.0,15.9,17.0,16.7,16.7,16.1,16.0,15.9,15.7,15.0,15.2,14.8,14.0,12.6,11.2,10.0,8.9,7.9,7.0,6.3,5.6,4.9,3.9,3.1,2.4,1.6
Gross Fixed Capital Formation (Private Sector) ,"23,332.1","23,154.5","22,109.5","23,867.1","19,323.3","18,443.2","22,361.6","23,978.1","23,752.0","24,686.0","22,211.1","24,138.1","22,739.9","24,704.5","22,008.1","26,279.6","24,532.5","25,322.1","21,703.3","24,683.7","22,079.3","23,380.7","21,279.8","24,299.1","23,846.4","23,747.7","21,661.4","24,654.3","23,492.8","23,043.8","22,255.6","22,831.4","24,247.5","22,288.7","21,423.5","21,884.7","21,106.4","20,696.9","20,941.7","19,925.1","21,330.9","19,654.4","16,818.3","19,104.2","18,393.1","18,235.2","17,625.0","18,232.1","17,451.9","18,166.4","16,080.9","16,666.9","17,030.7","17,747.9","16,889.7","18,449.5","14,831.5","15,113.9","13,764.8","15,022.0","13,545.6","12,269.7","11,567.9","13,051.4","11,627.1","10,950.9","10,216.6","10,500.6","11,749.2","11,124.8","9,889.4","9,576.9","9,357.8","9,136.8","9,046.8","9,732.0","9,689.3","10,393.7","9,771.5","10,420.2","11,013.8","10,614.2","11,049.0","11,520.9","13,047.8","11,045.6","11,330.3","10,420.8","11,216.0","10,172.7","9,122.6","10,085.1","11,091.8","10,860.0","12,052.5","13,422.3","12,627.9","11,262.9","10,791.9","12,376.4","10,197.4","11,536.3","10,419.0","10,527.8","8,522.1","8,001.4","7,735.4","8,068.8","7,617.4","7,293.3","7,267.2","7,522.5","7,083.8","7,016.8","6,641.3","7,064.5","6,489.3","6,327.4","5,752.7","5,234.9","5,660.3","6,138.2","5,338.5","4,981.7","5,413.6","4,919.3","4,929.2","5,030.3","4,544.5","4,134.9","4,518.9","3,921.5","4,156.6","3,387.0","3,117.3","3,311.3","3,060.5","2,616.3","2,696.7","2,500.8","2,824.6","2,297.7","3,050.7","3,112.6","3,167.8","3,078.1","4,298.3","4,274.9","3,689.7","4,098.8","4,004.4","3,626.8","3,782.0","3,963.4","3,191.0","3,390.5","3,591.6","3,390.0","3,614.4","3,511.1","3,204.5","2,934.4","2,533.3","2,686.4","2,630.0","2,758.9","2,323.9","2,393.9","2,538.8","2,109.1","1,584.2","1,910.4","1,581.0","1,686.9","1,647.0","1,628.7","1,547.2","1,381.4","1,181.4","1,263.3","1,521.3","1,427.6","1,618.3","1,426.4","1,372.7","1,536.9","1,644.4"
  Construction & Works (Private Sector),"7,752.5","7,197.5","7,000.5","6,861.6","4,558.4","3,492.5","7,021.6","7,791.2","7,562.3","7,483.5","6,911.5","7,366.3","7,258.7","7,573.3","7,240.9","7,537.7","7,592.2","7,801.1","7,970.4","8,857.9","9,154.2","9,444.8","9,542.5","10,020.9","10,447.9","9,976.4","9,565.2","10,174.5","10,079.3","10,296.4","9,878.5","11,005.5","10,791.7","10,797.7","9,817.6","10,527.9","10,066.4","9,984.1","9,077.8","9,821.4","9,501.4","8,948.6","8,364.0","9,281.9","8,889.8","9,177.4","8,549.5","10,024.0","9,295.1","8,865.7","8,530.2","9,113.5","8,562.5","7,696.2","7,220.7","7,945.1","7,191.0","6,497.3","5,977.4","5,581.9","5,547.1","5,057.1","4,603.5","5,040.2","4,699.2","4,236.2","4,016.2","4,283.2","4,022.1","4,111.8","4,168.6","4,229.6","4,151.2","4,105.2","4,100.9","4,973.5","4,887.0","4,925.2","5,051.1","5,415.6","5,843.5","5,319.1","5,441.4","5,878.0","6,171.1","5,731.4","5,277.8","5,497.6","5,201.2","4,954.4","4,969.9","5,842.5","6,411.6","6,459.0","6,541.5","7,619.6","7,006.3","6,247.1","5,819.4","6,155.2","6,042.1","6,131.5","5,638.4","5,466.7","4,922.8","4,437.4","4,126.9","4,570.2","4,283.6","3,594.6","3,859.1","3,678.6","3,565.7","3,233.1","3,282.9","3,614.9","3,484.0","3,208.0","3,031.8","3,015.1","2,651.9","2,416.5","2,367.6","2,188.5","2,029.1","2,029.3","2,220.1","2,044.1","1,981.6","1,946.2","1,909.5","1,867.7","1,810.4","1,541.8","1,446.8","1,355.4","1,387.0","1,324.8","1,101.3","1,265.3","1,233.0","1,485.8","1,601.7","2,130.9","2,295.6","2,433.6","2,864.2","2,925.4","3,072.5","3,134.2","2,922.3","2,914.3","2,795.5","2,588.8","2,437.0","2,397.7","2,160.0","2,026.4","1,990.2","1,966.3","1,668.2","1,308.2","1,073.7","1,177.5","1,067.3","1,076.7",943.6,998.3,861.1,872.9,773.7,751.0,660.4,690.7,636.6,624.9,617.6,577.5,553.0,625.3,673.3,612.5,623.6,705.0,696.7,662.1,651.0
    Residential Buildings (Private Sector) ,"3,891.0","3,844.6","3,573.3","3,514.9","2,367.2","1,596.6","3,298.1","3,702.7","3,547.9","3,312.2","3,099.8","3,254.6","3,410.6","3,457.1","3,442.4","3,847.0","3,951.1","4,009.9","4,178.2","4,618.1","4,689.7","4,874.6","4,875.5","5,290.8","5,691.0","5,570.8","5,436.5","5,727.5","5,618.4","5,849.9","5,560.1","6,280.9","5,932.2","5,942.6","5,502.2","5,845.0","5,739.2","5,408.8","4,881.3","5,142.0","5,042.2","4,966.2","4,884.1","5,251.7","5,116.2","4,910.1","4,415.6","4,452.7","4,005.3","3,698.3","3,504.7","3,910.4","3,778.4","3,506.1","3,191.4","3,249.6","3,070.5","3,017.1","2,802.4","2,548.4","2,529.4","2,408.2","2,317.8","2,438.3","2,527.8","2,361.4","2,212.0","2,529.3","2,569.7","2,683.0","2,714.8","2,954.3","2,797.7","2,604.1","2,765.8","3,221.4","3,063.7","3,036.7","2,991.0","3,056.7","3,112.7","2,903.6","2,823.1","3,042.0","3,237.4","3,133.1","3,074.0","3,312.7","3,242.4","3,017.8","3,081.8","3,564.5","3,781.2","3,778.9","3,754.1","4,340.5","4,199.7","3,652.6","3,317.3","3,374.7","3,491.9","3,453.9","3,027.4","2,900.5","2,785.8","2,278.8","2,178.4","2,250.3","1,966.6","1,814.6","1,954.9","1,849.9","1,604.5","1,450.6","1,419.8","1,591.0","1,484.3","1,300.5","1,269.4","1,243.0","1,192.4","1,116.3","1,206.8","1,142.8","1,036.7",975.9,"1,099.4","1,049.5","1,047.7","1,032.0","1,078.8","1,196.5","1,151.6",993.3,926.6,829.0,849.9,921.6,707.6,814.2,815.6,993.3,924.7,"1,274.8","1,414.1","1,510.1","1,747.6","1,773.9","1,857.4","1,884.0","1,575.9","1,522.1","1,388.7","1,256.0","1,096.3","1,020.9",866.7,759.1,589.2,607.6,496.4,424.9,321.7,367.5,297.0,367.5,274.3,304.2,250.5,307.4,300.6,299.0,298.3,330.6,303.6,425.0,442.6,394.1,365.2,421.8,493.0,397.9,433.2,442.0,486.7,405.5,386.6
    Non-Residential Buildings (Private Sector),"3,299.5","2,875.7","2,967.4","2,996.2","1,938.1","1,686.8","3,196.3","3,694.7","3,538.8","3,631.1","3,337.4","3,636.6","3,356.1","3,584.4","3,166.5","3,142.5","3,171.7","3,272.3","3,279.6","3,622.1","3,954.6","3,997.1","4,004.3","4,069.2","4,136.1","3,792.7","3,509.0","3,858.3","3,927.6","3,923.1","3,792.7","4,315.3","4,365.7","4,393.3","3,871.7","4,134.0","3,918.4","4,191.6","3,794.4","4,227.5","3,993.3","3,569.8","3,090.5","3,644.2","3,380.6","3,867.5","3,744.8","5,022.4","4,803.0","4,701.1","4,450.1","4,585.9","4,236.7","3,608.0","3,480.6","4,106.0","3,676.8","3,166.0","2,813.8","2,673.5","2,547.9","2,197.8","1,914.2","2,269.7","1,860.5","1,587.5","1,485.0","1,594.3","1,358.8","1,347.2","1,342.1","1,158.0","1,254.6","1,366.2","1,215.1","1,637.4","1,696.7","1,716.4","1,815.7","2,026.6","2,361.3","2,122.0","2,166.9","2,418.5","2,611.2","2,361.5","1,925.4","1,974.5","1,749.9","1,705.5","1,624.8","2,040.1","2,390.6","2,457.7","2,404.4","2,946.2","2,614.7","2,359.6","2,330.8","2,544.3","2,378.6","2,517.7","2,456.8","2,376.5","2,047.4","2,074.1","1,867.2","2,227.8","2,134.1","1,666.5","1,760.4","1,708.5","1,796.3","1,643.3","1,649.5","1,851.6","1,824.6","1,788.1","1,695.1","1,686.8","1,397.2","1,204.3","1,096.5","1,003.1",965.6,"1,024.9","1,043.7",873.3,877.3,773.4,762.9,689.7,656.6,572.1,546.7,545.3,562.9,439.9,421.9,478.9,453.6,542.3,681.5,884.8,924.9,976.3,"1,172.1","1,204.6","1,268.2","1,303.2","1,350.6","1,370.1","1,380.0","1,297.8","1,297.0","1,292.6","1,221.6","1,195.2","1,315.0","1,267.5","1,100.4",818.1,704.0,756.7,707.9,673.0,629.9,653.5,572.4,539.6,456.8,436.1,355.8,358.4,330.8,226.6,198.1,200.7,198.1,203.3,198.6,206.4,179.4,238.5,209.5,235.4,247.4
    Other Construction & Works (Private Sector),566.5,465.8,460.3,348.4,248.2,225.6,549.7,418.2,500.9,585.1,512.2,515.7,516.5,564.4,650.2,548.0,468.9,518.7,511.5,617.7,509.9,573.1,662.7,664.2,621.6,611.6,616.9,586.4,533.8,519.1,523.7,405.2,497.5,463.6,445.5,556.2,408.3,382.8,404.5,450.8,467.8,417.3,398.8,403.2,422.2,388.2,363.1,443.3,379.4,356.7,478.0,524.0,456.2,522.4,490.3,491.2,356.7,246.3,307.1,307.6,424.6,419.9,351.1,296.7,299.5,284.4,317.2,161.5,106.7,98.3,130.3,151.9,123.6,149.7,146.5,132.5,137.9,184.2,254.2,336.0,364.6,288.8,452.9,406.7,307.4,227.6,285.8,218.5,227.9,244.7,284.7,247.4,239.9,218.5,391.0,330.8,185.8,232.7,160.4,224.1,163.2,145.2,133.4,169.1,77.7,58.2,61.0,59.4,140.4,96.2,127.5,106.2,125.3,102.2,171.5,128.7,125.3,59.7,14.7,29.9,30.4,74.4,61.6,46.4,24.7,12.3,68.1,123.1,64.1,150.7,91.3,35.5,53.0,22.1,15.0,10.6,4.6,19.1,3.9,9.4,5.1,2.5,17.7,11.1,9.0,5.3,5.8,7.2,9.0,7.8,9.2,17.8,10.1,14.1,8.8,28.4,16.8,16.2,18.9,27.7,15.0,25.4,12.0,16.4,20.3,10.1,5.1,7.9,7.4,6.7,5.7,7.4,6.7,6.2,6.2,5.1,13.0,13.0,16.9,33.8,23.7,38.9,47.9,58.1,41.1,50.7,43.4
