,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
      Retail Trade,"1,667.1","1,609.5","1,733.7","1,814.5","1,655.7","1,065.4","1,704.5","1,903.3","1,810.5","1,815.0","1,902.8","1,998.7","1,849.8","1,872.7","1,892.7","2,004.5","1,829.5","1,829.4","1,899.6","1,954.9","1,833.0","1,830.0","1,881.0","1,917.2","1,780.0","1,767.1","1,814.1","1,844.0","1,682.7","1,646.2","1,721.8","1,731.6","1,607.8","1,653.8","1,671.1","1,723.7","1,595.3","1,599.4","1,666.3","1,709.3","1,561.9","1,572.1","1,573.3","1,653.6","1,523.5","1,476.2","1,582.1","1,612.8","1,523.1","1,519.4","1,557.8","1,633.1","1,623.5","1,655.0","1,711.9","1,733.6","1,594.5","1,717.0","1,721.1","1,715.9","1,551.0","1,581.8","1,608.7","1,635.4","1,496.3","1,487.4","1,548.8",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transportation & Storage,"6,203.3","6,099.3","6,110.6","5,917.4","5,735.1","5,076.8","7,312.4","8,147.2","8,077.4","8,118.1","7,893.3","8,126.8","8,112.9","8,005.9","7,933.8","8,207.1","8,054.6","7,972.6","7,800.0","7,819.6","7,659.7","7,663.9","7,421.8","7,470.3","7,616.3","7,501.5","7,426.5","7,416.8","7,418.7","7,318.1","7,122.7","7,368.8","7,380.4","7,175.3","6,797.2","7,060.3","7,006.9","6,987.9","6,796.0","6,702.8","6,727.0","6,735.1","6,349.9","6,402.3","6,279.1","6,184.0","6,062.1","6,140.4","5,922.9","5,745.3","5,681.0","6,036.9","6,593.7","6,661.4","6,476.9","6,402.1","6,261.9","6,077.2","5,908.8","5,769.3","5,760.1","5,558.0","5,419.3","5,456.6","5,458.6","5,372.6","5,238.1","5,171.4","5,163.5","5,009.8","4,774.7","4,747.7","4,659.0","4,099.9","4,485.6","4,560.0","4,678.6","4,598.6","4,398.8","4,327.3","4,415.8","4,337.7","4,222.7","4,438.7","4,499.7","4,303.2","4,174.1","4,323.3","4,316.4","4,148.8","4,023.5","4,020.7","4,013.0","3,909.3","3,778.3","3,839.8","3,862.2","3,761.6","3,647.4","3,655.2","3,634.4","3,540.4","3,433.4","3,462.7","3,485.8","3,309.1","3,173.4","3,228.9","3,200.5","2,999.0","2,910.8","2,961.3","2,962.5","2,802.3","2,690.7","2,698.9","2,679.4","2,548.6","2,551.5","2,613.3","2,599.7","2,446.2","2,363.7","2,411.8","2,412.0","2,326.7","2,276.9","2,266.3","2,212.3","2,126.4","2,079.2","2,082.8","2,045.2","1,956.6","1,916.6","1,874.3","1,854.8","1,763.8","1,712.7","1,730.9","1,730.8","1,674.2","1,619.4","1,622.6","1,594.9","1,583.6","1,538.2","1,574.1","1,572.8","1,593.9","1,490.5","1,443.1","1,442.6","1,405.4","1,345.8","1,310.4","1,325.1","1,302.2","1,265.0","1,240.9","1,229.7","1,172.0","1,121.7","1,120.2","1,128.6","1,056.1","1,038.8","1,060.8",987.7,943.8,892.9,917.7,885.6,815.5,777.2,813.7,779.0,702.7,687.5,700.8,671.7,624.9,621.1,600.4,591.3,551.8,524.1
    Accommodation & Food Services,"1,786.0","1,728.8","1,844.1","1,937.7","1,892.1","1,365.5","1,834.3","2,400.6","2,442.9","2,334.1","2,401.0","2,418.5","2,453.1","2,333.8","2,351.9","2,335.7","2,353.4","2,235.4","2,320.7","2,279.3","2,345.3","2,228.2","2,266.6","2,226.6","2,234.9","2,122.7","2,178.8","2,237.6","2,237.3","2,158.4","2,162.8","2,106.2","2,125.4","2,146.5","2,188.5","2,062.2","2,067.1","2,044.1","2,040.6","2,039.6","2,014.8","1,941.4","1,878.2","1,877.5","1,786.5","1,696.5","1,649.8","1,612.7","1,545.5","1,459.6","1,485.3","1,584.2","1,576.8","1,584.6","1,612.9","1,593.7","1,569.5","1,534.5","1,542.8","1,568.8","1,507.1","1,449.1","1,422.8","1,484.7","1,412.0","1,380.0","1,332.0","1,342.7","1,287.9","1,256.5","1,272.1","1,316.7","1,198.9",933.9,"1,239.2","1,319.8","1,270.9","1,276.5","1,300.6","1,329.8","1,347.3","1,360.1","1,389.5","1,447.5","1,381.3","1,341.9","1,336.4","1,342.6","1,247.6","1,261.3","1,228.6","1,231.5","1,169.9","1,192.9","1,236.9","1,315.1","1,294.0","1,289.4","1,304.4","1,277.3","1,192.1","1,191.2","1,219.4","1,200.5","1,162.6","1,107.2","1,120.5","1,121.4","1,101.5","1,047.4","1,099.0","1,095.3","1,049.2","1,018.1","1,014.9","1,016.4",988.5,958.9,975.8,960.6,916.7,882.4,839.3,934.0,890.5,867.9,890.7,914.7,882.4,839.7,848.3,836.3,777.0,737.3,738.8,735.0,671.4,635.4,615.0,639.8,612.0,577.6,587.2,592.6,567.4,560.4,564.9,594.7,574.5,563.5,557.7,582.9,564.7,547.8,550.7,576.1,556.7,527.1,530.7,547.2,521.7,501.6,501.7,511.3,482.3,454.4,450.1,458.1,427.6,405.0,400.1,416.2,400.4,373.0,377.8,382.0,367.8,344.5,344.8,352.9,336.1,309.6,317.9,321.2,307.4,290.3,296.5
      Accommodation,826.3,747.1,724.7,840.2,861.6,645.3,622.2,"1,046.5","1,083.6","1,000.3","1,032.9","1,038.9","1,095.4","1,020.5","1,005.0",985.3,"1,009.2",936.6,953.4,930.1,983.9,910.2,935.3,916.7,939.6,864.6,883.8,921.2,944.3,887.0,873.8,842.3,869.9,881.7,956.4,853.3,884.5,870.0,888.2,905.6,921.2,865.2,832.3,849.4,804.2,706.1,666.0,683.5,644.1,570.2,569.9,628.8,633.8,641.6,650.5,674.2,681.6,669.4,659.4,673.7,665.2,628.3,611.5,644.9,649.6,626.1,589.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food & Beverage Services,989.3,988.9,"1,097.6","1,098.5","1,032.8",722.4,"1,207.9","1,355.6","1,361.3","1,334.7","1,369.1","1,380.7","1,359.9","1,314.8","1,347.7","1,350.8","1,344.9","1,299.1","1,367.2","1,349.2","1,361.4","1,318.0","1,331.3","1,309.8","1,294.6","1,258.4","1,295.5","1,316.4","1,292.2","1,271.5","1,289.5","1,266.2","1,256.2","1,265.2","1,227.8","1,208.1","1,180.3","1,172.1","1,149.3","1,129.4","1,089.7","1,071.9","1,041.7","1,027.0",980.8,984.0,975.7,914.4,889.7,886.8,915.0,948.9,936.2,936.0,955.4,909.6,880.0,857.6,874.5,885.4,837.1,813.4,802.7,831.0,766.1,754.5,738.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,"6,104.9","5,736.4","5,591.5","5,744.4","5,530.1","5,198.3","5,258.2","5,597.1","5,454.2","5,238.0","5,000.3","4,954.6","4,808.1","4,703.7","4,518.9","4,506.6","4,531.0","4,535.8","4,413.5","4,043.1","4,186.0","4,312.8","4,126.8","3,962.6","3,969.7","4,047.9","3,799.1","3,966.6","3,989.6","4,038.0","3,846.6","3,663.2","3,730.5","3,822.2","3,575.7","3,507.9","3,455.0","3,500.9","3,294.2","3,245.9","3,258.6","3,158.6","3,102.5","3,037.0","2,946.0","2,998.6","2,897.2","2,777.8","2,779.6","2,787.9","2,736.8","2,693.7","2,619.9","2,567.9","2,538.3","2,495.0","2,463.9","2,439.2","2,389.3","2,379.9","2,313.6","2,272.1","2,235.5","2,242.8","2,228.1","2,195.6","2,148.5","2,098.7","2,106.1","2,093.3","2,041.9","1,939.2","1,899.8","1,893.7","1,949.0","1,769.5","1,777.1","1,784.9","1,809.6","1,675.7","1,669.3","1,695.3","1,733.9","1,530.4","1,486.8","1,456.2","1,403.8","1,310.9","1,259.7","1,251.4","1,233.2","1,083.5","1,079.1","1,100.1","1,100.5",999.5,988.3,957.1,909.1,820.7,794.5,789.4,783.9,723.6,716.0,709.6,692.4,645.9,610.1,594.9,588.0,552.9,544.1,530.9,513.0,474.4,466.0,451.3,450.0,399.8,403.7,396.0,386.1,360.5,354.0,345.7,338.1,323.9,303.9,302.1,296.5,289.6,278.6,271.5,265.7,248.7,237.3,224.4,220.5,215.8,207.2,202.7,197.6,196.1,186.6,184.1,182.3,185.4,173.7,172.9,168.2,171.9,159.7,154.2,148.6,145.5,137.0,130.1,124.9,118.6,113.0,106.3,101.2,94.4,91.2,88.2,84.3,80.4,75.5,72.5,68.9,68.6,64.5,62.9,56.7,55.9,50.4,48.2,53.1,43.2,43.6,42.3,39.4,40.6,36.7,36.5,39.3
    Finance & Insurance,"17,565.6","17,532.4","17,075.9","16,732.4","16,119.4","15,970.2","16,202.3","15,956.2","15,472.7","15,496.9","14,990.4","14,622.8","14,390.7","14,298.7","14,146.1","14,081.7","13,811.6","13,457.3","12,835.4","12,949.6","12,607.4","12,470.3","12,475.0","12,669.6","12,465.2","12,335.0","12,404.7","12,375.9","11,952.2","11,739.3","11,604.6","11,313.4","10,742.9","10,881.1","10,731.4","9,602.2","9,189.3","9,226.0","9,099.6","8,823.6","9,101.8","8,581.3","8,468.7","8,610.3","8,168.5","8,023.4","7,728.0","7,625.5","7,455.9","7,217.6","6,550.7","6,762.9","7,233.0","7,458.4","7,137.4","7,457.0","7,120.2","6,847.8","6,252.0","6,082.0","5,840.1","5,906.4","5,708.0","5,360.1","5,186.3","5,138.5","4,986.3","4,880.9","4,930.4","4,853.4","4,865.0","4,945.8","4,847.6","4,581.2","4,005.4","3,999.0","3,904.3","3,826.5","4,041.7","3,991.4","3,950.2","4,350.0","4,184.5","3,595.6","3,688.8","3,798.7","3,853.5","3,653.2","3,920.9","3,984.8","3,652.0","3,995.8","3,647.6","3,749.6","3,766.7","4,395.8","4,820.4","4,987.7","4,800.3","4,307.0","4,132.8","4,082.6","3,960.9","3,614.1","3,799.4","3,556.5","3,293.0","3,519.7","3,740.4","3,614.2","3,702.4","3,826.4","3,424.1","3,401.8","2,912.4","3,134.2","2,998.1","2,765.5","2,544.2","2,461.0","2,413.3","2,480.7","2,390.3","2,303.3","2,365.5","2,271.4","2,254.7","1,904.2","1,948.8","2,018.5","1,703.6","1,716.6","1,668.8","1,590.3","1,470.2","1,546.6","1,669.0","1,583.8","1,453.5","1,301.1","1,335.5","1,268.6","1,247.8","1,316.0","1,337.5","1,273.7","1,251.9","1,184.0","1,160.8","1,088.9","1,071.6",999.6,981.3,975.8,926.6,978.8,909.6,853.8,799.3,925.6,923.8,876.0,839.9,727.8,681.5,639.3,626.5,559.2,517.9,496.7,472.4,503.8,481.7,449.2,421.1,396.9,399.5,406.8,392.7,418.6,390.3,373.4,390.3,374.0,349.4,339.8,358.1
"    Real Estate, Professional Services And Administrative & Support Services","15,169.4","14,689.1","14,430.8","15,480.0","14,423.6","13,302.6","15,658.5","17,348.7","17,066.9","16,725.0","16,228.2","17,449.0","17,468.0","17,293.3","16,747.5","17,081.0","16,971.2","16,822.1","16,109.7","16,675.3","16,707.5","16,443.1","16,137.3","16,579.5","16,253.6","15,629.7","14,659.6","15,249.6","14,755.8","14,551.9","13,734.2","14,327.3","14,435.6","14,318.2","13,722.1","13,975.7","13,448.2","13,379.3","13,064.8","13,411.6","13,250.7","12,566.0","12,301.4","12,593.1","11,997.4","11,901.8","11,509.1","11,463.3","11,218.6","10,837.6","10,631.1","10,776.0","10,762.6","10,533.4","10,371.1","10,135.9","9,940.0","9,672.0","9,175.2","8,896.3","8,584.0","8,322.9","8,093.5","8,263.4","8,140.8","7,850.1","7,603.3","7,471.7","7,345.2","7,295.5","7,082.9","6,981.5","6,903.5","6,636.8","6,624.9","6,749.5","6,703.4","6,682.0","6,395.2","6,196.9","6,325.0","6,342.9","6,203.1","6,328.7","6,464.9","6,338.0","6,061.8","6,084.1","6,103.0","6,127.5","5,791.5","5,889.1","6,068.9","6,103.8","5,877.2","6,098.1","5,971.8","5,693.0","5,442.0","5,440.9","5,325.8","5,357.3","5,086.5","5,135.0","5,008.3","4,841.7","4,559.4","4,800.0","4,731.1","4,643.2","4,649.9","4,307.2","4,268.8","4,255.6","4,179.3","4,043.1","4,050.3","4,035.6","3,982.2","3,720.5","3,689.8","3,646.8","3,601.7","3,477.5","3,459.8","3,435.2","3,308.0","3,282.0","3,323.2","3,200.4","3,091.6","3,006.8","2,924.7","2,810.9","2,789.7","2,709.8","2,398.7","2,291.3","2,542.7","2,602.8","2,143.1","2,072.4","2,272.3","2,317.1","2,282.4","2,445.5","2,239.0","2,229.0","2,194.6","2,152.2","2,110.8","2,243.8","2,191.2","2,146.1","2,082.1","2,204.6","2,167.6","2,142.8","2,071.3","1,855.2","1,794.4","1,678.8","1,603.9","1,761.1","1,677.2","1,646.3","1,559.8","1,654.4","1,603.4","1,576.8","1,491.2","1,510.3","1,516.9","1,465.3","1,468.7","1,543.4","1,551.0","1,476.4","1,493.6","1,470.7","1,531.9","1,461.1","1,495.5","1,531.9","1,585.5","1,514.7","1,459.3"
      Real Estate,"4,005.8","3,877.2","3,961.3","3,813.6","3,430.5","3,069.2","4,072.7","4,273.0","4,166.6","4,170.1","4,160.4","4,278.4","4,335.0","4,297.1","4,127.2","4,210.0","4,211.2","4,312.3","4,196.6","4,510.8","4,622.1","4,531.5","4,602.9","4,783.2","4,800.2","4,650.5","4,556.2","4,641.8","4,641.7","4,637.3","4,559.2","4,822.6","4,793.6","4,685.7","4,447.0","4,480.7","4,406.8","4,270.1","4,127.5","4,230.7","4,442.3","4,137.3","4,066.2","4,294.4","4,126.3","4,103.1","3,813.4","3,931.5","3,770.1","3,676.9","3,414.3","3,521.5","3,480.1","3,371.5","3,211.6","3,241.8","3,165.6","3,067.9","2,870.7","2,862.8","2,799.9","2,754.1","2,661.4","2,976.3","2,896.5","2,710.9","2,584.4",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,"6,478.1","6,369.6","6,259.6","6,804.7","6,207.4","5,746.2","6,557.9","7,357.5","6,954.2","6,906.6","6,810.6","7,194.6","6,541.4","6,415.4","6,440.8","6,729.0","6,444.5","6,331.8","6,116.4","6,389.9","6,199.7","6,100.4","5,887.3","6,366.9","6,116.6","5,989.1","5,745.4","6,196.7","5,624.4","5,454.9","5,287.1","5,507.6","5,662.7","5,602.6","5,722.5","5,955.7","5,495.4","5,502.1","5,454.2","5,700.4","5,403.1","5,097.7","5,189.6","5,609.7","5,277.7","5,185.5","5,220.9","5,354.7","5,211.5","4,875.0","4,894.5","5,041.5","5,004.0","4,813.6","4,813.1","4,892.6","4,827.5","4,609.9","4,380.5","4,378.6","4,165.4","3,963.7","3,833.7","3,981.6","3,855.8","3,693.4","3,580.1",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Administrative & Support Services,"4,709.6","4,466.3","4,250.1","4,859.3","4,771.6","4,468.2","5,032.6","5,710.7","5,922.1","5,637.3","5,262.5","5,953.3","6,549.0","6,536.9","6,142.0","6,109.6","6,281.8","6,153.9","5,779.1","5,774.6","5,885.8","5,811.2","5,647.1","5,436.6","5,338.6","4,990.2","4,348.9","4,409.1","4,479.9","4,446.3","3,860.0","3,962.8","3,948.8","4,003.1","3,530.8","3,518.3","3,523.1","3,589.6","3,467.4","3,453.4","3,383.6","3,303.7","3,031.5","2,740.2","2,601.7","2,568.0","2,395.7","2,264.6","2,232.9","2,212.7","2,234.8","2,252.1","2,253.1","2,261.3","2,250.8","2,048.6","1,932.7","1,908.1","1,826.3","1,721.2","1,628.4","1,569.3","1,552.5","1,479.3","1,493.5","1,474.9","1,440.3",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,"12,122.5","11,962.8","12,398.2","12,055.3","11,615.6","10,302.7","12,323.8","12,780.3","12,721.2","12,558.6","12,751.5","12,240.6","12,259.6","12,133.5","12,422.2","12,038.3","12,006.1","11,995.9","12,047.4","11,744.8","11,798.8","11,559.5","11,526.1","11,212.1","11,327.4","11,205.4","11,218.1","11,062.1","10,790.4","10,975.9","10,944.5","10,514.8","10,747.9","10,556.3","10,551.1","10,405.3","10,233.4","10,297.1","10,628.5","10,040.0","10,140.5","9,971.1","10,181.7","9,887.3","9,827.5","9,736.1","9,031.8","8,644.3","8,598.6","8,336.8","8,333.3","8,116.5","8,057.5","7,958.8","7,935.8","7,851.7","7,841.0","7,709.2","7,725.3","7,603.5","7,601.5","7,498.9","7,536.7","7,124.4","7,272.2","7,087.1","7,168.7","6,846.4","6,968.8","6,833.7","6,897.8","6,739.6","6,699.6","6,400.6","6,717.5","6,604.4","6,631.2","6,550.2","6,414.4","6,273.2","6,261.0","6,145.8","6,184.7","5,891.3","5,820.0","5,700.8","5,649.7","5,359.6","5,298.3","5,192.3","5,229.0","4,993.7","5,060.4","4,973.7","5,033.0","4,887.5","4,874.9","4,794.9","4,826.2","4,517.3","4,554.2","4,364.8","4,457.0","4,186.3","4,135.5","4,003.8","4,066.0","3,906.4","3,853.0","3,794.9","3,776.2","3,560.0","3,537.2","3,437.8","3,423.5","3,243.4","3,279.6","3,221.6","3,221.9","3,079.5","3,086.8","3,022.0","3,021.7","2,872.7","2,897.6","2,836.1","2,831.5","2,647.6","2,666.7","2,630.4","2,623.3","2,458.6","2,451.0","2,368.6","2,518.3","2,421.7","2,292.0","2,250.8","2,407.4","2,224.5","2,172.9","2,083.8","2,206.2","2,066.8","2,023.5","1,986.7","2,123.5","1,941.6","1,976.1","1,930.4","2,001.7","1,897.9","1,861.8","1,811.3","1,862.9","1,809.1","1,737.7","1,675.2","1,669.9","1,622.0","1,550.9","1,543.2","1,604.8","1,544.8","1,497.9","1,466.6","1,517.8","1,448.0","1,436.2","1,408.2","1,423.5","1,414.2","1,369.4","1,316.7","1,354.4","1,281.3","1,261.9","1,241.8","1,281.7","1,249.6","1,233.6","1,223.8","1,239.4","1,208.9","1,204.9","1,168.4","1,184.6"
  Ownership Of Dwellings,"5,483.1","5,491.7","5,445.8","5,429.7","5,459.6","5,484.5","5,512.7","5,477.6","5,428.0","5,387.3","5,350.6","5,262.3","5,214.9","5,169.5","5,107.8","5,036.6","4,966.8","4,921.0","4,881.0","4,810.8","4,767.4","4,700.7","4,665.9","4,587.2","4,550.1","4,498.7","4,464.1","4,403.4","4,352.0","4,293.6","4,255.7","4,205.3","4,166.8","4,153.1","4,137.5","4,101.5","4,057.0","3,999.0","3,952.4","3,909.0","3,859.9","3,844.0","3,805.1","3,728.0","3,730.0","3,740.6","3,738.6","3,702.9","3,718.7","3,739.5","3,736.6","3,729.0","3,683.3","3,648.8","3,636.2","3,629.4","3,648.5","3,658.1","3,646.3","3,631.7","3,630.2","3,623.6","3,610.8","3,581.7","3,568.5","3,541.5","3,528.6","3,525.1","3,501.3","3,486.7","3,444.1","3,413.5","3,430.6","3,447.6","3,443.4","3,449.8","3,411.0","3,387.9","3,361.3","3,264.1","3,232.5","3,222.0","3,238.6","3,215.6","3,163.5","3,110.3","3,070.8","3,023.6","2,957.6","2,886.6","2,826.7","2,774.1","2,722.7","2,658.3","2,618.2","2,527.3","2,469.2","2,431.8","2,413.7","2,385.9","2,364.5","2,333.9","2,317.3","2,311.4","2,284.4","2,260.3","2,253.6","2,247.3","2,211.7","2,184.1","2,155.0","2,138.0","2,117.6","2,089.9","2,074.4","2,029.4","2,043.2","2,016.3","2,014.7","2,015.8","2,017.7","1,994.0","1,991.4","1,985.9","1,975.5","1,950.6","1,949.9","1,976.3","1,944.1","1,958.9","1,951.7","1,882.6","1,803.4","1,809.8","1,795.8","1,748.3","1,697.1","1,714.5","1,689.0","1,601.3","1,590.8","1,545.5","1,495.5","1,485.3","1,377.6","1,300.2","1,340.5","1,254.8","1,223.0","1,176.1","1,119.2",918.0,862.6,850.2,850.6,621.5,604.6,597.7,604.9,642.3,641.0,632.9,621.0,483.0,484.7,485.1,485.1,463.5,461.4,460.5,455.0,428.7,427.1,425.4,421.9,420.9,410.7,410.7,402.4,397.1,389.2,381.0,379.1,374.2,370.3,362.5,356.2
