quarter,level_1,value
2001-Q3,Unit Labour Cost Of Overall Economy,92.8
2001-Q4,Unit Labour Cost Of Overall Economy,98.7
2002-Q1,Unit Labour Cost Of Overall Economy,94.8
2002-Q2,Unit Labour Cost Of Overall Economy,84
2002-Q3,Unit Labour Cost Of Overall Economy,86.7
2002-Q4,Unit Labour Cost Of Overall Economy,96.3
2003-Q1,Unit Labour Cost Of Overall Economy,93.8
2003-Q2,Unit Labour Cost Of Overall Economy,86
2003-Q3,Unit Labour Cost Of Overall Economy,82.2
2003-Q4,Unit Labour Cost Of Overall Economy,87.7
2004-Q1,Unit Labour Cost Of Overall Economy,87.8
2004-Q2,Unit Labour Cost Of Overall Economy,78
2004-Q3,Unit Labour Cost Of Overall Economy,79.2
2004-Q4,Unit Labour Cost Of Overall Economy,89
2005-Q1,Unit Labour Cost Of Overall Economy,90.1
2005-Q2,Unit Labour Cost Of Overall Economy,78.9
2005-Q3,Unit Labour Cost Of Overall Economy,79.1
2005-Q4,Unit Labour Cost Of Overall Economy,87.3
2006-Q1,Unit Labour Cost Of Overall Economy,89.1
2006-Q2,Unit Labour Cost Of Overall Economy,80.1
2006-Q3,Unit Labour Cost Of Overall Economy,80.5
2006-Q4,Unit Labour Cost Of Overall Economy,90.2
2007-Q1,Unit Labour Cost Of Overall Economy,93.6
2007-Q2,Unit Labour Cost Of Overall Economy,85.8
2007-Q3,Unit Labour Cost Of Overall Economy,84
2007-Q4,Unit Labour Cost Of Overall Economy,95.6
2008-Q1,Unit Labour Cost Of Overall Economy,95
2008-Q2,Unit Labour Cost Of Overall Economy,85.9
2008-Q3,Unit Labour Cost Of Overall Economy,88.5
2008-Q4,Unit Labour Cost Of Overall Economy,99.3
2009-Q1,Unit Labour Cost Of Overall Economy,103.5
2009-Q2,Unit Labour Cost Of Overall Economy,87.5
2009-Q3,Unit Labour Cost Of Overall Economy,84.7
2009-Q4,Unit Labour Cost Of Overall Economy,93.9
2010-Q1,Unit Labour Cost Of Overall Economy,96.1
2010-Q2,Unit Labour Cost Of Overall Economy,80.5
2010-Q3,Unit Labour Cost Of Overall Economy,86
2010-Q4,Unit Labour Cost Of Overall Economy,95.5
2011-Q1,Unit Labour Cost Of Overall Economy,97.4
2011-Q2,Unit Labour Cost Of Overall Economy,85.8
2011-Q3,Unit Labour Cost Of Overall Economy,85.5
2011-Q4,Unit Labour Cost Of Overall Economy,95
2012-Q1,Unit Labour Cost Of Overall Economy,98.4
2012-Q2,Unit Labour Cost Of Overall Economy,87
2012-Q3,Unit Labour Cost Of Overall Economy,89.6
2012-Q4,Unit Labour Cost Of Overall Economy,98.2
2013-Q1,Unit Labour Cost Of Overall Economy,100.9
2013-Q2,Unit Labour Cost Of Overall Economy,88.3
2013-Q3,Unit Labour Cost Of Overall Economy,89.2
2013-Q4,Unit Labour Cost Of Overall Economy,99.6
2014-Q1,Unit Labour Cost Of Overall Economy,104.2
2014-Q2,Unit Labour Cost Of Overall Economy,91.1
2014-Q3,Unit Labour Cost Of Overall Economy,92.8
2014-Q4,Unit Labour Cost Of Overall Economy,101.5
2015-Q1,Unit Labour Cost Of Overall Economy,108.2
2015-Q2,Unit Labour Cost Of Overall Economy,93.8
2015-Q3,Unit Labour Cost Of Overall Economy,94.3
2015-Q4,Unit Labour Cost Of Overall Economy,103.8
2016-Q1,Unit Labour Cost Of Overall Economy,110.1
2016-Q2,Unit Labour Cost Of Overall Economy,96.3
2016-Q3,Unit Labour Cost Of Overall Economy,96.2
2016-Q4,Unit Labour Cost Of Overall Economy,103.2
2017-Q1,Unit Labour Cost Of Overall Economy,109.6
2017-Q2,Unit Labour Cost Of Overall Economy,96.5
2017-Q3,Unit Labour Cost Of Overall Economy,95.4
2017-Q4,Unit Labour Cost Of Overall Economy,104.5
2018-Q1,Unit Labour Cost Of Overall Economy,108.5
2018-Q2,Unit Labour Cost Of Overall Economy,96.6
2018-Q3,Unit Labour Cost Of Overall Economy,96.4
2018-Q4,Unit Labour Cost Of Overall Economy,106
2019-Q1,Unit Labour Cost Of Overall Economy,111.1
2019-Q2,Unit Labour Cost Of Overall Economy,99.5
